"country","SFTGcode","COW","risk_in_2019","risk_in_2019_20","anymk.ongoing","anymk.ever","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage.ln","popsize.ln.combined","imr.sqrt","gdppcgrowth.combined","ios.iccpr1","includesnonstate","durable.ln","minorityrule","elf.ethnic","battledeaths.ln","candidaterestriction","partyban","judicialreform","religiousfreedom","pol_killing_approved","freemove_men4","freemove_women4","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","tradeshare.ln.combined","coup.try.5yr","polity2.fl.2","polity2.fl.3"
"Indonesia","INS",850,0.01296,0.03254,0,1,0,1,0,0,0,4.24849524204936,19.3960990507642,4.59347363114234,0.0359401553291042,0,1,2.99573227355399,0,0.74,3.25809653802148,0,4,2,3,0,1,0,0.826,0,0,0,0,0.117,-2.63616690347006,0,0,1
"Tajikistan","TAJ",702,0.01229,0.01685,0,0,0,0,0,0,1,3.3322045101752,16.0410422128494,5.51361950083609,0.0534839315814095,1,1,3.04452243772342,0,0.51,0,1,2,1,1,0,1,1,0.204,0,0,0,1,-2.411,-2.34620042920647,0,1,0
"Laos","LAO",812,0.0122,0.02227,0,1,0,1,0,0,0,4.24849524204936,15.7950665757627,6.13188388670236,0.0468979431424802,0,1,3.78418963391826,1,0.51,0,1,0,2,2,1,0,0,0.071,0,0,0,1,-0.203,-2.032772781069,0,0,0
"North Korea","PRK",731,0.01218,0.01772,1,1,0,1,0,0,0,4.26267987704132,17.0490779315755,4.69041575982343,-0.0165809033733562,0,1,4.26267987704132,1,0.04,0,1,0,1,1,1,0,0,0.011,1,0,1,1,-1.192,-1.42414458525099,0,0,0
"Turkmenistan","TKM",701,0.01133,0.01723,0,0,0,0,0,0,1,3.3322045101752,15.6140919115425,6.26897120746299,0.0444183571216534,1,1,3.3322045101752,1,0.39,0,1,0,1,1,0,0,0,0.114,0,0,1,1,-2.122,-2.8589127433519,0,0,0
"Kazakhstan","KZK",705,0.01131,0.02174,0,0,0,0,0,0,1,3.3322045101752,16.7247059666648,2.96647939483827,0.0271113572635581,1,1,3.3322045101752,0,0.62,0,0,3,1,2,0,0,0,0.496,0,0,0,1,-1.476,-2.27813912715154,0,0,0
"Cambodia","CAM",811,0.01121,0.01467,0,1,0,1,0,0,0,4.18965474202643,16.608861091812,4.89897948556636,0.0553007062397262,0,1,0.693147180559945,1,0.21,0,1,3,0,3,0,1,1,0.413,0,0,0,1,-1.235,-1.4591505935719,0,1,0
"Morocco","MOR",600,0.01089,0.02728,0,0,0,0,0,1,0,4.14313472639153,17.3967106034589,4.38178046004133,0.0176342253454129,0,1,3.98898404656427,0,0.48,0,1,4,2,1,0,1,0,0.769,0,0,0,0,-0.308,-1.85736988154099,0,1,0
"Burkina Faso","BFO",439,0.0105,0.01524,0,0,1,0,0,0,0,4.07753744390572,16.8013074547776,7,0.0469715772779323,1,1,1.38629436111989,0,0.74,3.78418963391826,1,4,1,3,0,1,0,0.898,0,0,0,0,1.146,-2.20490979102601,1,0,1
"Philippines","PHI",840,0.01048,0.0106,1,1,0,1,0,0,0,4.79579054559674,18.4773546166699,4.74341649025257,0.044778819091819,1,1,3.46573590279973,1,0.24,6.04263283368238,1,4,1,3,0,1,1,0.738,0,0,0,1,-0.596,-2.00690481184114,0,0,1
"Iran","IRN",630,0.01012,0.02505,0,1,0,0,0,1,0,6.24997524225948,18.2127787926018,3.5213633723318,0.0287597672976644,0,1,2.70805020110221,1,0.67,4.27666611901606,0,2,1,1,0,1,0,0.494,0,0,0,1,0.146,-2.5667962511987,0,0,0
"Togo","TOG",461,0.009729,0.01393,0,0,1,0,0,0,0,4.07753744390572,15.902277011105,6.8847657912234,0.0335737126026307,1,1,3.25809653802148,0,0.71,0,0,4,2,4,0,1,1,0.425,0,0,0,0,-0.356,-2.03320435277368,0,1,0
"Mauritania","MAA",435,0.00944,0.01115,0,0,1,0,0,0,0,4.07753744390572,15.3433047880567,7.17635004720366,0.0229906429443863,0,1,2.30258509299405,1,0.62,0,1,3,1,1,0,1,0,0.706,0,0,0,1,-1.101,-1.45250682484251,0,1,0
"Nepal","NEP",790,0.009332,0.01711,0,1,0,0,0,0,1,5.52545293913178,17.1496774162523,5.16720427310553,0.0451581261600405,1,1,2.56494935746154,0,0.66,0,1,4,2,3,0,1,0,0.804,0,0,0,0,0.937,-2.37862933211277,0,0,1
"Jordan","JOR",663,0.009282,0.02206,0,1,0,0,0,1,0,4.29045944114839,16.1285409543835,3.72827037646145,0.00931227938534313,0,1,3.40119738166216,1,0.59,0,1,4,1,2,0,1,0,0.706,0,0,0,1,0.553,-1.82665435183319,0,1,0
"Cuba","CUB",40,0.009042,0.01217,0,1,0,0,0,0,0,5.01727983681492,16.2555300922807,1.92353840616713,-0.009,0,1,4.06044301054642,0,0.59,0,1,0,1,2,0,0,0,0.23,0,1,0,0,1.144,-2.97099811505619,0,1,0
"Nicaragua","NIC",93,0.008444,0.01399,0,1,0,0,0,0,0,5.19849703126583,15.7100539980478,3.96232255123179,-0.0381254039710544,1,1,1.09861228866811,1,0.48,0,1,4,0,2,0,0,0,0.108,0,0,1,1,-0.951,-1.78180029715184,0,0,1
"Azerbaijan","AZE",373,0.008161,0.01656,0,1,0,0,1,0,0,3.3322045101752,16.1272001429412,4.38178046004133,0.00496559593659359,1,1,3.17805383034795,1,0.2,0,1,4,1,2,0,0,0,0.264,0,0,1,1,-1.65,-1.79663103496763,0,0,0
"Eritrea","ERI",531,0.007975,0.009595,0,0,1,0,0,0,0,3.25809653802148,15.6023656872199,5.59464029227975,0,0,1,3.25809653802148,1,0.65,0,1,0,1,1,0,0,0,0.065,0,0,0,1,0.792,-1.23304136862702,0,0,0
"Saudi Arabia","SAU",670,0.007647,0.01324,0,0,0,0,0,1,0,4.46590811865458,17.3303576188045,2.44948974278318,0.0115760063397559,0,1,4.53259949315326,1,0.18,0,1,0,1,0,0,0,0,0.2,1,0,0,1,-1.361,-2.15519730574571,0,0,0
"Colombia","COL",100,0.007573,0.01133,0,1,0,0,0,0,0,5.29831736654804,17.7154520925817,3.4928498393146,0.015228214242093,1,1,4.12713438504509,1,0.6,4.96284463025991,1,4,1,4,0,1,1,0.649,0,0,0,1,-0.797,-2.80908387556943,0,0,1
"South Africa","SAF",560,0.007553,0.01376,0,1,1,0,0,0,0,4.69134788222914,17.8664072045812,5.33853912601566,-0.00155171460421188,1,1,3.2188758248682,0,0.75,0,1,4,1,4,0,1,1,0.836,0,0,0,1,0.954,-2.27304670285936,0,0,1
"Equatorial Guinea","EQG",411,0.007276,0.008927,0,1,1,0,0,0,0,3.93182563272433,14.2503353470561,7.91201617794099,-0.0309884916810913,1,1,3.91202300542815,1,0.35,0,1,2,1,3,0,0,0,0.102,0,0,0,1,-0.826,-1.73288834370443,0,0,0
"Gabon","GAB",481,0.007097,0.01027,0,0,1,0,0,0,0,4.07753744390572,14.6685914426189,5.71839138219832,0.00338513756537559,0,1,2.30258509299405,0,0.77,0,1,4,2,4,0,1,1,0.915,0,0,0,1,0.6,-2.11112427431164,0,1,0
"Sierra Leone","SIE",451,0.007066,0.01137,0,1,1,0,0,0,0,4.06044301054642,15.8724854768323,8.86002257333467,0.0240451794811551,1,1,2.83321334405622,0,0.82,0,0,4,1,4,0,1,1,0.928,0,0,0,0,0.443,-1.98320014467616,0,0,1
"Madagascar","MAG",580,0.00699,0.01011,0,0,1,0,0,0,0,4.07753744390572,17.083092974319,6.18061485614498,0.0360757137223941,1,1,1.6094379124341,0,0.88,0,1,4,1,4,0,1,1,0.611,0,0,0,1,0.374,-2.05235486891301,0,0,1
"Brazil","BRA",140,0.006929,0.01147,0,0,0,0,0,0,0,5.26785815906333,19.1512066707845,3.57770876399966,0.00253194862327903,0,1,3.52636052461616,0,0.54,0,1,4,1,4,0,1,1,0.817,0,0,0,0,0.214,-3.06861154266526,0,0,1
"United Arab Emirates","UAE",696,0.006887,0.01344,0,0,0,0,0,1,0,3.87120101090789,16.0961780761269,2.54950975679639,0.00505597831914572,0,1,3.87120101090789,1,0.63,0,1,1,1,3,0,0,0,0.376,0,0,0,1,-0.474,-1.17300790415556,0,0,0
"Bahrain","BAH",692,0.006812,0.01663,0,0,0,0,0,1,0,3.87120101090789,14.4047100854364,2.46981780704569,0.00797223582796712,0,1,1.94591014905531,1,0.5,0,0,2,0,1,1,0,0,0.027,1,0,1,1,-1.624,-1.19127053555436,0,0,0
"The Gambia","GAM",420,0.006641,0.007879,0,0,1,0,0,0,0,3.98898404656427,14.7342303653522,6.2449979983984,0.0477148888833752,1,1,0.693147180559945,0,0.79,0,0,4,1,4,0,1,1,0.786,0,1,0,1,1.326,-2.26967014151697,1,1,0
"Comoros","COM",581,0.006552,0.005914,0,0,1,0,0,0,0,3.78418963391826,13.8858023355966,7.16240183178799,0.0163974999094357,0,1,0,0,0,0,1,4,1,2,0,1,1,0.567,0,0,0,0,1.351,-2.2502762941071,0,1,0
"Papua New Guinea","PNG",910,0.006416,0.009164,0,1,0,1,0,0,0,3.78418963391826,15.9867154021742,6.16441400296898,-0.0031548256626137,0,1,3.78418963391826,0,0.27,0,1,4,1,4,0,1,0,0.692,0,1,0,0,-0.348,-0.648296614394594,0,1,0
"Democratic Republic of Vietnam","VIE",816,0.006325,0.008961,0,1,0,1,0,0,0,3.76120011569356,18.3676067232645,4.06201920231798,0.0516361070757801,0,1,4.17438726989564,1,0.24,0,1,0,2,2,0,1,1,0.373,0,0,0,1,-0.195,-1.01035370184811,0,0,0
