"country","SFTGcode","COW","risk_in_2019","risk_in_2019_20","anymk.ongoing","anymk.ever","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage.ln","popsize.ln.combined","imr.sqrt","gdppcgrowth.combined","ios.iccpr1","includesnonstate","durable.ln","minorityrule","elf.ethnic","battledeaths.ln","candidaterestriction","partyban","judicialreform","religiousfreedom","pol_killing_approved","freemove_men4","freemove_women4","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","tradeshare.ln.combined","coup.try.5yr","polity2.fl.2","polity2.fl.3"
"Australia","AUL",900,0.002962,0.002725,0,0,0,1,0,0,0,4.77068462446567,17.0340081222367,1.7606816861659,0.0166855224566779,1,1,4.77068462446567,0,0.09,0,1,4,1,4,0,1,1,0.931,0,0,0,0,1.033,-2.6366651233923,0,0,1
"Guinea-Bissau","GNB",404,0.002937,0.002676,0,0,1,0,0,0,0,3.80666248977032,14.5595205789384,7.34846922834953,0.0246389286297215,1,1,1.6094379124341,0,0.81,0,1,3,1,4,0,1,1,0.752,0,1,0,1,-0.888,-2.31024306687871,0,0,1
"Moldova","MLD",359,0.002925,0.002943,0,0,0,0,1,0,0,3.3322045101752,15.1397075257657,3.68781778291716,0.0262872143901659,1,1,3.3322045101752,0,0.55,0,1,4,1,4,0,1,1,0.841,0,0,0,1,-0.015,-1.86242926597383,0,0,1
"Panama","PAN",95,0.002922,0.002791,0,0,0,0,0,0,0,4.75359019110636,15.2934325640142,3.61939221417077,0.0236253452343743,1,1,3.40119738166216,0,0.55,0,1,4,1,4,0,1,1,0.821,0,0,0,0,-0.777,-1.88195115902152,0,0,1
"South Korea","ROK",732,0.002885,0.003097,0,1,0,1,0,0,0,4.26267987704132,17.7544910578983,1.6431676725155,0.0153121977115713,1,1,3.43398720448515,0,0,0,1,4,1,4,0,1,1,0.96,0,1,0,0,0.621,-1.91040454226315,0,0,1
"Botswana","BOT",571,0.002884,0.003035,0,0,1,0,0,0,0,3.97029191355212,14.7239161262811,5.47722557505166,0.0300251935172257,0,1,3.97029191355212,0,0.41,0,0,4,1,4,0,1,1,0.892,0,0,0,0,0.389,-1.99839579663291,0,0,1
"Poland","POL",290,0.002856,0.00289,0,1,0,0,1,0,0,4.61512051684126,17.44904838105,1.94935886896179,0.0357604406809426,1,1,3.3322045101752,0,0.12,0,1,4,0,4,0,1,1,0.8,0,1,0,0,1.632,-1.62791360285712,0,0,1
"Bolivia","BOL",145,0.002813,0.00287,0,0,0,0,0,0,0,5.26785815906333,16.2568238743912,4.6690470119715,0.0281302033315428,1,1,3.61091791264422,0,0.74,0,1,4,1,4,0,1,1,0.852,0,1,0,1,1.463,-2.32333191065636,0,0,1
"Japan","JPN",740,0.002733,0.002671,0,0,0,1,0,0,0,7.21450441415114,18.6478870142808,1.34164078649987,-0.000184539746621181,0,1,4.20469261939097,0,0.01,0,1,4,1,4,0,1,1,0.853,0,1,0,0,1.932,-2.98229848822105,0,0,1
"Romania","RUM",360,0.002725,0.002798,0,1,0,0,1,0,0,4.95582705760126,16.7873323206141,2.46981780704569,0.0270757043629709,1,1,3.13549421592915,0,0.31,0,1,4,0,4,0,1,1,0.838,0,1,0,0,0.473,-1.86490775107805,0,0,1
"Swaziland","SWA",572,0.002673,0.001806,0,0,1,0,0,0,0,3.93182563272433,14.1329764447611,6.557438524302,-0.00153548581328482,0,1,3.8286413964891,1,0.06,0,1,1,1,2,0,1,0,0.521,0,0,0,1,0.685,-1.71290086138357,0,0,0
"Israel","ISR",666,0.002626,0.003893,0,0,0,0,0,1,0,4.26267987704132,16.0175616501327,1.73205080756888,0.020590998209146,0,1,3.63758615972639,0,0.34,4.07753744390572,1,4,1,4,0,1,1,0.73,0,1,0,0,0.766,-2.31181745958093,0,0,1
"Spain","SPN",230,0.002596,0.002528,0,0,0,0,1,0,0,6.26720054854136,17.6550480642691,1.58113883008419,0.0145987795269567,1,1,3.71357206670431,0,0.42,0,1,4,2,4,0,1,1,0.859,0,1,0,0,1.202,-2.15352345100276,0,0,1
"France","FRN",220,0.002592,0.002271,0,0,0,0,1,0,0,7.06987412845857,18.0136776911281,1.84390889145858,0.00753698022564639,1,1,3.91202300542815,0,0.1,0,1,4,2,4,0,1,1,0.931,0,1,0,0,1.035,-2.20709993550509,0,0,1
"Chile","CHL",155,0.002563,0.002388,0,1,0,0,0,0,0,5.30330490805908,16.748843654572,2.48997991959775,0.0264903900464922,1,1,3.40119738166216,1,0.19,0,1,4,1,4,0,1,1,0.925,0,1,0,1,0.15,-2.31522451246835,0,0,1
"Bhutan","BHU",760,0.002562,0.002285,0,0,0,0,0,0,1,4.89783979995091,13.8111759480622,4.97995983919549,0.0121997132893845,0,1,2.39789527279837,0,0.6,0,1,3,1,3,0,1,0,0.654,0,1,0,0,1.466,-2.05844547354579,0,0,1
"Croatia","CRO",344,0.002514,0.002267,0,0,0,0,1,0,0,3.3322045101752,15.2734814173892,2,0.0149950237509142,1,1,2.94443897916644,0,0.37,0,1,4,1,4,0,1,1,0.738,0,0,0,1,0.682,-1.69273023742783,0,0,1
"Italy","ITA",325,0.002514,0.002206,0,0,0,0,1,0,0,5.06259503302697,17.9110878677559,1.61245154965971,0.000394789858862279,1,1,4.26267987704132,0,0.11,0,1,4,1,4,0,1,1,0.965,0,1,0,0,1.835,-2.25037030330843,0,0,1
"United Kingdom","UKG",200,0.002481,0.00253,0,0,0,0,1,0,0,6.18001665365257,18.0062398777194,1.89736659610103,0.0048397828259927,0,1,4.93447393313069,0,0.12,0,1,4,1,4,0,1,1,0.954,0,1,0,0,1.075,-2.24435312724908,0,0,1
"Guyana","GUY",110,0.00248,0.002193,0,0,0,0,0,0,0,3.97029191355212,13.8353503758324,5.00999001995014,0.0216938875711677,1,1,3.29583686600433,0,0.62,0,0,4,1,4,0,1,1,0.884,0,0,0,1,0.879,-1.72727139161336,0,0,1
"Timor-Leste","ETM",860,0.002352,0.002615,0,0,0,1,0,0,0,2.83321334405622,14.2237063572046,6.26897120746299,0.0165127268577359,0,1,2.83321334405622,0,0.9,0,1,4,1,4,0,1,1,0.879,0,1,0,0,0.106,-2.73780178940169,0,0,1
"El Salvador","SAL",92,0.002193,0.002074,0,1,0,0,0,0,0,5.18178355029209,15.7033665401175,3.43511280746353,0.0142352119854535,1,1,3.55534806148941,0,0.2,0,1,4,1,4,0,1,1,0.687,0,1,0,0,-0.698,-1.98580209412667,0,0,1
"Bulgaria","BUL",355,0.002174,0.002161,0,1,0,0,1,0,0,4.94875989037817,15.7899541675471,2.42899156029822,0.0187146372143713,1,1,3.36729582998647,0,0.4,0,1,4,1,4,0,1,1,0.885,0,1,0,0,0.898,-1.43084214473951,0,0,1
"Georgia","GRG",372,0.002099,0.002256,0,1,0,0,1,0,0,3.3322045101752,15.1873067533798,2.94957624075052,0.0321993959773316,1,1,3.3322045101752,0,0.49,0,1,4,1,3,0,1,1,0.942,0,1,0,1,0.1,-1.48741383369033,0,0,1
"Hungary","HUN",310,0.002079,0.001913,0,1,0,0,1,0,0,5.13579843705026,16.1100284301313,1.89736659610103,0.0340376079649324,1,1,3.36729582998647,0,0.15,0,1,4,1,4,0,1,1,0.832,0,1,0,0,0.597,-1.12992984120075,0,0,1
"Kuwait","KUW",690,0.002032,0.003053,0,0,0,0,0,1,0,4.06044301054642,15.2844579401511,2.58843582110896,0.00354132846956633,0,1,4.00733318523247,0,0.66,0,0,2,1,2,0,1,0,0.518,0,1,0,1,-0.53,-1.79498198457512,0,0,0
"Oman","OMA",698,0.002009,0.002016,0,0,0,0,0,1,0,5.91079664404053,15.4309088779049,3.13049516849971,0.0108356669721512,0,1,4.12713438504509,1,0.44,0,1,0,1,2,0,1,0,0.323,0,1,0,1,-0.552,-1.61881678352116,0,0,0
"Czech Republic","CZR",316,0.001976,0.001654,0,0,0,0,1,0,0,3.25809653802148,16.1920863215736,1.6431676725155,0.0176978694012691,1,1,3.25809653802148,0,0.32,0,1,4,1,4,0,1,1,0.964,0,1,0,0,1.086,-1.25404614800071,0,0,1
"Belarus","BLR",370,0.001946,0.001754,0,0,0,0,1,0,0,3.3322045101752,16.0813378637156,1.61245154965971,0.0184570786891191,1,1,3.13549421592915,0,0.32,0,1,4,1,3,0,1,1,0.693,0,1,0,0,2.017,-1.33829073339596,0,0,0
"Belgium","BEL",211,0.001932,0.001672,0,0,0,0,1,0,0,5.24174701505964,16.2627458916223,1.70293863659264,0.00517131146805859,1,1,4.31748811353631,0,0.56,0,1,4,1,4,0,1,1,0.945,0,1,0,0,1.936,-1.0825885033023,0,0,1
"Netherlands","NTH",210,0.001883,0.001384,0,0,0,0,1,0,0,6.11146733950268,16.666623847707,1.81659021245849,0.0147282283808107,1,1,4.30406509320417,0,0.11,0,1,4,1,4,0,1,1,0.939,0,1,0,0,1.957,-1.2019515339125,0,0,1
"Mongolia","MON",712,0.001823,0.001476,0,0,0,1,0,0,0,4.68213122712422,15.035531419094,3.74165738677394,0.0505898582580998,1,1,3.29583686600433,0,0.37,0,1,4,2,4,0,1,1,0.956,0,1,0,1,0.819,-1.46866983152592,0,0,1
"Greece","GRC",350,0.001816,0.001321,0,0,0,0,1,0,0,5.23110861685459,16.2014176972741,1.89736659610103,0.00926347872459083,1,1,3.78418963391826,0,0.16,0,1,4,1,4,0,1,1,0.959,0,1,0,0,2.235,-2.05952479508365,0,0,1
"Albania","ALB",339,0.00181,0.001574,0,1,0,0,1,0,0,4.67282883446191,14.9425398321685,2.79284800875379,0.0263235857468576,1,1,3.09104245335832,0,0.22,0,1,4,1,4,0,1,1,0.822,0,1,0,0,-0.467,-1.98973409564461,0,0,1
"Slovakia","SLO",317,0.001755,0.00134,0,0,0,0,1,0,0,3.25809653802148,15.5456118490802,2.14476105895272,0.0271859387528238,1,1,3.25809653802148,0,0.25,0,1,4,1,3,0,1,1,0.864,0,1,0,0,1.113,-0.982299340367613,0,0,1
"Jamaica","JAM",51,0.001701,0.001296,0,0,0,0,0,0,0,4.04305126783455,14.9642663683423,3.5213633723318,0.00861980723576297,1,1,4.0943445622221,0,0.41,0,1,4,1,4,0,1,1,0.877,0,1,0,0,1.906,-2.01544170128291,0,0,1
"Switzerland","SWZ",225,0.001694,0.001579,0,0,0,0,1,0,0,6.59030104819669,15.9765286514257,1.92353840616713,0.0142582451670774,0,1,5.14166355650266,0,0.53,0,1,4,1,4,0,1,1,0.966,0,1,0,0,1.722,-1.51414176623359,0,0,1
"Armenia","ARM",371,0.001689,0.001188,0,0,0,0,1,0,0,3.3322045101752,14.9695629922718,3.3166247903554,0.0361769288708966,1,1,3.04452243772342,0,0.13,0,1,4,1,3,0,1,1,0.941,0,1,0,0,0.383,-1.81610361051341,0,0,1
"Portugal","POR",235,0.001681,0.001103,0,0,0,0,1,0,0,6.77536609093639,16.1599555907902,1.7606816861659,0.0109961677456793,1,1,3.76120011569356,0,0.05,0,1,4,1,4,0,1,1,0.966,0,1,0,0,1.956,-1.85821989640915,0,0,1
"Macedonia","MAC",343,0.001662,0.001343,0,0,0,0,1,0,0,3.3322045101752,14.6472788734762,2.79284800875379,-0.00666666666666667,1,1,2.83321334405622,0,0.5,0,1,4,1,3,0,1,1,0.744,0,1,0,1,-0.443,-1.01627666647939,0,0,1
"Austria","AUS",305,0.001647,0.0012,0,0,0,0,1,0,0,4.61512051684126,16.0135291933099,1.70293863659264,0.0158130433235747,1,1,4.29045944114839,0,0.11,0,1,4,1,3,0,1,1,0.935,0,1,0,0,0.992,-1.64555183547706,0,0,1
"Trinidad and Tobago","TRI",52,0.001639,0.001307,0,0,0,0,0,0,0,4.04305126783455,14.3008738277581,4.04969134626332,-0.000909500394387601,1,1,4.04305126783455,0,0.65,0,1,4,1,4,0,1,1,0.888,0,1,0,0,0.958,-0.0214098294840164,0,0,1
"Costa Rica","COS",94,0.001605,0.001174,0,0,0,0,0,0,0,5.28826703069454,15.4638122676399,2.75680975041804,0.0152770763861372,1,1,4.60517018598809,0,0.24,0,1,4,1,4,0,1,1,0.945,0,1,0,0,0.208,-2.1501091975039,0,0,1
"Cyprus","CYP",352,0.001593,0.001053,0,0,0,0,1,0,0,4.07753744390572,14.1705129443771,1.37840487520902,0.0252651525072547,1,1,3.80666248977032,0,0.09,0,1,4,1,4,0,1,1,0.922,0,0,0,0,1.517,-1.41249758029413,0,0,1
"Sweden","SWD",380,0.001562,0.001064,0,0,0,0,1,0,0,6.20657592672493,16.1505518079194,1.48323969741913,0.0127625316567371,1,1,4.62497281328427,0,0.06,0,1,4,1,4,0,1,1,0.842,0,1,0,0,1.303,-1.80977450382156,0,0,1
"Uruguay","URU",165,0.001562,0.001069,0,0,0,0,0,0,0,5.26785815906333,15.1139432187804,2.5298221281347,0.00667330322524644,1,1,3.52636052461616,0,0.25,0,1,4,1,4,0,1,1,0.941,0,1,0,0,1.073,-2.71680476063008,0,0,1
"New Zealand","NEW",920,0.001552,0.001261,0,0,0,1,0,0,0,4.71849887129509,15.4418736648756,2.16794833886788,0.0162415648086602,1,1,4.95582705760126,0,0.4,0,1,4,2,4,0,1,1,0.937,0,1,0,0,1.437,-2.45111870212805,0,0,1
"Mauritius","MAS",590,0.001494,0.001141,0,0,1,0,0,0,0,3.93182563272433,14.2219481291465,3.68781778291716,0.0244231590476734,1,1,3.93182563272433,0,0.46,0,0,4,1,4,0,1,1,0.947,0,1,0,1,0.468,-1.76303385437336,0,0,1
"Lithuania","LIT",368,0.001488,0.001079,0,0,0,0,1,0,0,3.3322045101752,14.9175840257047,1.81659021245849,0.022114486785281,1,1,3.3322045101752,0,0.32,0,1,4,1,4,0,1,1,0.767,0,1,0,0,1.071,-1.17223132492116,0,0,1
"Latvia","LAT",367,0.001476,0.001202,0,0,0,0,1,0,0,3.3322045101752,14.5837959351133,1.81659021245849,0.0326307795671831,1,1,3.3322045101752,0,0.59,0,1,4,2,4,0,1,1,0.949,0,1,0,0,1.355,-1.51844443928074,0,0,1
"Denmark","DEN",390,0.001452,0.0008966,0,0,0,0,1,0,0,6.96034772910131,15.6052923156468,1.89736659610103,0.00559841863459834,1,1,4.30406509320417,0,0.08,0,1,4,1,4,0,1,1,0.967,0,1,0,0,2.703,-1.66098326171298,0,0,1
"Ireland","IRE",205,0.001426,0.0009789,0,0,0,0,1,0,0,4.57471097850338,15.4356258798521,1.7606816861659,0.0606529088260842,1,1,4.58496747867057,0,0.12,0,1,4,1,4,0,1,1,0.949,0,1,0,0,1.274,-0.877405714738472,0,0,1
"Solomon Islands","SOL",940,0.001421,0.0009694,0,0,0,1,0,0,0,3.71357206670431,13.7047545874506,4.13521462562707,0.0212230446866451,0,1,2.70805020110221,0,0.11,0,1,4,1,4,0,1,0,0.821,0,1,0,0,0.204,-0.415967830307314,0,0,1
"Finland","FIN",375,0.001415,0.0009608,0,0,0,0,1,0,0,4.61512051684126,15.5580013085175,1.18321595661992,0.00698194527274095,1,1,4.31748811353631,0,0.13,0,1,4,1,4,0,1,1,0.94,0,1,0,0,1.978,-1.96543655531001,0,0,1
"Norway","NOR",385,0.001412,0.0009239,0,0,0,0,1,0,0,4.7361984483945,15.5220535842812,1.44913767461894,0.00523884968787424,1,1,4.30406509320417,0,0.06,0,1,4,1,4,0,1,1,0.949,0,1,0,0,2.392,-2.08918788306088,0,0,1
"Estonia","EST",366,0.001329,0.0009345,0,0,0,0,1,0,0,3.3322045101752,14.2579393032777,1.44913767461894,0.0251808320949715,1,1,2.94443897916644,0,0.51,0,1,4,1,4,0,1,1,0.949,0,1,0,0,2.259,-1.27949313657807,0,0,1
"Slovenia","SLV",349,0.001297,0.0008574,0,0,0,0,1,0,0,3.3322045101752,14.6464541553793,1.30384048104053,0.0303026078351689,1,1,3.3322045101752,0,0.22,0,1,4,1,4,0,1,1,0.919,0,1,0,0,1.7,-1.17918070260234,0,0,1
"Montenegro","MNE",341,0.001275,0.0009876,0,0,0,0,1,0,0,2.56494935746154,13.6704272228706,1.51657508881031,0.0333290507938961,1,1,2.56494935746154,0,0.7,0,1,4,1,4,0,1,1,0.721,0,1,0,1,0.028,-1.59343645717885,0,0,1
